Listing_ID,Host_Name,Property_Type,Location,Bedrooms,Bathrooms,Accommodates,Review_Score,Number_of_Reviews,Superhost,Host_Experience,Cleaning_Fee,Minimum_Nights,Amenities_Score,Instant_Bookable
997185,Wei Smith,Apartment,Inner Suburb,1,1,2,3.99,24,Yes,1,38.0,5,4.0,Yes
993173,Omar Walker,Apartment,Outer Suburb,1,1,4,5.0,22,Yes,0,44.0,2,4.0,No
990716,Sophie Lee,Townhouse,Inner Suburb,3,3,8,4.98,39,Yes,4,79.0,3,7.0,Yes
992338,Mia Scott,Studio,Inner Suburb,1,1,4,3.97,34,No,3,49.0,5,6.0,No
996744,James Patel,Apartment,CBD,1,1,4,,0,No,0,50.0,4,6.0,Yes
991212,Isla Patel,Townhouse,Regional,4,3,9,4.53,76,No,1,79.0,5,7.0,Yes
996958,Lucas Wang,Apartment,CBD,1,2,4,4.29,6,No,1,62.0,1,4.0,Yes
995934,Mia King,Apartment,Regional,1,1,2,4.27,48,No,1,42.0,7,3.0,No
996318,Jack Patel,House,Inner Suburb,2,2,3,4.14,56,Yes,6,52.0,1,5.0,No
996562,James Lee,HOUSE,Inner Suburb,2,2,4,4.33,33,No,4,64.0,2,6.0,No
993775,Sarah Young,Townhouse,Regional,2,2,5,4.4,29,No,1,48.0,1,6.0,No
997895,Chloe Young,House,Inner Suburb,4,3,8,4.34,5,No,1,80.0,4,5.0,No
992213,Chloe Harris,House,Inner Suburb,4,3,8,4.86,42,Yes,5,83.0,1,7.0,Yes
993401,Sarah Patel,Apartment,Inner Suburb,1,2,2,4.86,59,Yes,5,65.0,5,7.0,Yes
993609,Mia Walker,Studio,Outer Suburb,1,2,1,4.27,55,No,5,45.0,4,3.0,Yes
996237,Oliver Jones,Apartment,Outer Suburb,2,2,5,4.36,18,No,1,62.0,2,7.0,No
995135,Anna Chen,House,Outer Suburb,3,2,6,4.32,78,Yes,15,64.0,2,7.0,Yes
992681,Minh Wang,House,Regional,3,1,5,4.74,2,No,0,60.0,1,7.0,Yes
990730,Hannah Brown,Apartment,CBD,1,1,3,4.26,93,Yes,3,54.0,1,7.0,No
995141,Daniel Wilson,Townhouse,Outer Suburb,3,2,8,4.6,93,Yes,4,79.0,1,6.0,No
996804,Chloe Martin,House,Inner Suburb,3,2,7,4.39,27,No,4,67.0,1,7.0,No
994153,Chloe Thomas,Apartment,CBD,1,2,2,4.51,16,No,5,56.0,2,6.0,Yes
997398,Jack Le,Townhouse,CBD,3,2,6,4.12,44,Yes,1,66.0,1,6.0,Yes
991502,Zoe Nguyen,Studio,Regional,1,2,3,4.37,73,Yes,3,46.0,5,3.0,No
994523,Zoe Lee,House,Outer Suburb,2,2,4,4.81,132,Yes,1,60.0,1,6.0,Yes
991752,Emily Jones,House,Regional,3,2,6,4.62,27,No,0,78.0,2,7.0,No
990347,Omar Jones,Apartment,Outer Suburb,2,2,3,4.39,22,No,2,66.0,1,8.0,No
994093,Emma White,House,Inner Suburb,4,3,7,4.2,27,No,6,81.0,3,5.0,No
993610,Mei Smith,House,Inner Suburb,3,3,5,4.56,43,No,11,74.0,1,5.0,Yes
990082,Mei Lee,Villa,CBD,2,2,5,4.51,28,Yes,3,65.0,2,6.0,No
995426,Omar King,Studio,Outer Suburb,1,2,1,4.2,31,No,0,70.0,3,8.0,Yes
993535,Oliver Wilson,Studio,Regional,1,1,1,4.42,65,No,6,62.0,2,5.0,No
990797,Ben Chen,House,Outer Suburb,4,3,8,4.42,24,No,3,81.0,2,4.0,Yes
992442,Mia Young,House,Inner Suburb,3,2,8,4.44,67,No,2,88.0,3,5.0,Yes
997753,Sophie Singh,Villa,CBD,4,2,10,4.47,25,No,1,79.0,1,6.0,No
992808,Aisha King,Studio,Regional,1,1,4,4.21,13,No,3,59.0,3,3.0,No
994297,James Clark,Apartment,Outer Suburb,2,2,6,4.63,195,Yes,9,55.0,1,7.0,Yes
995789,Ava Martin,Townhouse,Outer Suburb,3,2,5,4.36,46,No,6,76.0,2,7.0,Yes
990684,Thomas Harris,Apartment,Outer Suburb,1,2,4,4.26,104,Yes,9,51.0,1,6.0,No
990167,Sarah Brown,Apartment,Outer Suburb,1,2,2,4.52,58,Yes,5,46.0,3,4.0,Yes
992977,Grace Brown,House,Outer Suburb,4,3,8,4.36,59,Yes,15,82.0,1,7.0,Yes
996234,Ava Taylor,Villa,Outer Suburb,4,2,7,,35,No,6,,2,9.0,Yes
994091,An Martin,Apartment,CBD,1,2,1,4.31,47,No,0,55.0,4,7.0,Yes
994726,Ethan Walker,Apartment,Outer Suburb,1,1,4,4.14,35,Yes,1,40.0,5,4.0,No
997146,Wei Martin,Townhouse,Inner Suburb,2,2,4,4.42,22,Yes,4,52.0,1,5.0,Yes
995328,Mia Brown,Studio,Inner Suburb,1,2,4,4.59,42,No,8,35.0,1,6.0,No
995578,Sophie Walker,House,Regional,3,3,6,4.28,53,No,3,71.0,1,7.0,Yes
997023,Daniel Le,House,Inner Suburb,3,2,6,4.87,26,Yes,3,76.0,2,6.0,No
992484,Priya Patel,Apartment,Inner Suburb,1,2,2,4.69,88,No,0,51.0,3,4.0,Yes
992686,Aisha Nguyen,Apartment,Outer Suburb,1,1,1,4.33,40,No,8,48.0,3,4.0,Yes
993072,Olivia Khan,Studio,CBD,1,2,1,4.41,133,Yes,5,63.0,1,7.0,Yes
995866,Michael White,Apartment,CBD,1,1,2,4.46,73,No,5,52.0,2,4.0,Yes
996755,Emily Wilson,House,Inner Suburb,3,1,7,4.51,134,Yes,2,80.0,1,10.0,Yes
996172,Lily King,Apartment,Outer Suburb,1,2,2,4.13,126,No,4,57.0,2,6.0,Yes
992002,Hannah Taylor,Apartment,CBD,2,3,4,4.73,50,Yes,7,85.0,2,7.0,Yes
993330,Sarah Harris,Townhouse,Outer Suburb,3,3,7,5.0,25,Yes,2,80.0,4,6.0,Yes
992826,David Ali,House,Outer Suburb,3,3,7,4.47,16,No,6,81.0,1,5.0,Yes
990426,Emily Clark,Apartment,Inner Suburb,2,2,3,4.61,52,Yes,1,61.0,1,7.0,Yes
993602,Jack White,Apartment,Inner Suburb,2,2,4,4.76,196,Yes,4,69.0,2,7.0,Yes
997717,Ben Tran,Apartment,CBD,1,2,2,4.25,15,No,7,43.0,2,6.0,Yes
996139,Mia Harris,Apartment,Inner Suburb,3,3,6,4.69,105,No,15,80.0,3,6.0,Yes
990832,Liam Khan,House,Regional,2,2,4,4.48,54,Yes,0,61.0,1,5.0,Yes
995946,Zoe Singh,Apartment,Regional,1,2,2,4.69,46,Yes,2,51.0,1,5.0,No
996834,An King,Apartment,Inner Suburb,2,2,6,4.04,20,Yes,3,50.0,4,3.0,Yes
992532,Lily Taylor,Apartment,Outer Suburb,1,2,2,4.56,110,Yes,15,43.0,1,8.0,Yes
995986,Sophie Tran,Villa,CBD,5,3,10,4.2,34,Yes,0,93.0,1,6.0,Yes
992573,Zoe Harris,Townhouse,Outer Suburb,4,3,7,4.31,65,Yes,0,73.0,1,5.0,No
993820,Priya Wilson,Villa,Outer Suburb,3,2,6,4.62,11,No,3,77.0,7,9.0,Yes
990149,Thomas King,Apartment,Regional,1,1,4,4.59,81,No,1,32.0,4,3.0,Yes
997497,Ethan Wang,Studio,CBD,1,2,4,4.98,33,No,5,62.0,1,9.0,Yes
995650,Zoe Brown,Townhouse,Regional,4,3,9,4.72,0,No,0,85.0,2,6.0,Yes
997491,Thomas Singh,Townhouse,CBD,2,2,5,4.35,18,No,3,44.0,1,4.0,Yes
996653,Aisha Clark,House,Inner Suburb,2,1,6,4.1,58,Yes,8,59.0,2,5.0,No
993057,Aisha Harris,House,Inner Suburb,5,3,10,4.4,105,Yes,4,99.0,2,6.0,No
991785,Noah Khan,Villa,CBD,4,2,8,4.67,35,No,3,71.0,2,6.0,Yes
991054,Linh Khan,Apartment,Regional,1,2,2,4.5,90,Yes,14,56.0,3,8.0,Yes
990948,Isla White,Apartment,Inner Suburb,1,2,2,4.3,48,Yes,4,54.0,7,6.0,Yes
997515,Sophie Le,House,Outer Suburb,2,2,6,4.12,126,No,2,67.0,3,6.0,Yes
993556,Arjun Taylor,Apartment,Inner Suburb,2,2,3,4.44,51,No,2,67.0,3,8.0,Yes
996793,Lily Anderson,Apartment,CBD,1,2,2,4.09,25,No,4,54.0,2,4.0,No
992440,Lily King,House,CBD,4,3,9,4.29,62,Yes,3,63.0,3,6.0,No
992155,Grace Harris,House,Regional,3,2,8,4.55,0,No,0,63.0,1,6.0,No
997986,Lily Wilson,House,CBD,4,3,8,4.77,86,No,7,85.0,3,7.0,Yes
995212,Ben Ali,Apartment,Outer Suburb,2,2,6,4.42,71,Yes,14,63.0,2,5.0,Yes
996265,Arjun White,House,CBD,2,3,4,3.69,50,No,3,63.0,3,5.0,No
993696,Mia King,Apartment,Inner Suburb,1,2,2,4.41,38,No,4,41.0,2,7.0,Yes
993731,William Smith,Apartment,Inner Suburb,1,2,4,4.24,49,No,1,48.0,1,2.0,Yes
993170,Thomas Lee,Apartment,Outer Suburb,1,1,1,4.26,73,No,11,27.0,2,3.0,Yes
993752,James Khan,Apartment,Regional,1,1,2,4.28,54,Yes,3,80.0,1,7.0,No
990504,Emma Anderson,Apartment,Regional,1,1,2,4.59,73,No,3,56.0,1,,No
991419,Ben Scott,House,Regional,2,2,3,4.3,44,No,5,66.0,2,8.0,No
992038,Minh Smith,Apartment,Regional,1,2,1,4.67,39,Yes,4,46.0,1,3.0,Yes
993479,Wei Singh,House,Inner Suburb,3,2,6,4.25,23,No,1,85.0,1,5.0,Yes
994830,Emma Nguyen,Apartment,CBD,1,1,1,4.14,17,Yes,2,40.0,2,2.0,No
997457,Ethan Patel,House,Outer Suburb,2,2,6,5.0,40,No,4,50.0,1,7.0,No
996013,Chloe King,Studio,Regional,1,1,1,3.93,23,No,3,27.0,5,3.0,Yes
992257,Noah Nguyen,Apartment,Outer Suburb,1,2,4,4.8,45,Yes,5,61.0,1,6.0,No
994186,Omar Patel,House,Outer Suburb,2,1,4,4.61,143,Yes,12,55.0,1,4.0,No
997384,Wei Lee,Apartment,Outer Suburb,2,1,4,4.36,23,Yes,2,56.0,4,5.0,No
991488,Mei Le,Villa,CBD,4,2,7,4.94,22,Yes,1,76.0,3,7.0,Yes
995898,Emma Thomas,Villa,Outer Suburb,5,3,10,4.98,80,Yes,1,106.0,3,10.0,No
995920,Daniel Martin,House,CBD,3,1,6,4.38,67,No,14,63.0,2,3.0,Yes
995530,Ben Nguyen,Studio,Outer Suburb,1,2,2,4.37,60,No,2,56.0,1,3.0,No
997451,Mia Thomas,Apartment,Outer Suburb,3,3,5,4.66,19,No,3,79.0,1,8.0,Yes
993082,Zoe Patel,Villa,Inner Suburb,5,2,9,4.4,178,Yes,3,82.0,2,8.0,Yes
992612,Emily Jones,Apartment,Outer Suburb,2,2,4,4.5,10,No,1,54.0,2,8.0,Yes
991058,Priya White,Apartment,Outer Suburb,3,3,7,4.68,17,No,1,73.0,1,8.0,No
993702,Noah Nguyen,Apartment,Regional,1,1,1,4.75,21,No,10,22.0,2,4.0,Yes
991200,Amelia Clark,Apartment,Outer Suburb,1,1,2,4.1,41,Yes,15,28.0,2,3.0,Yes
996505,Lucas King,Apartment,Outer Suburb,1,1,1,4.17,27,No,3,45.0,3,3.0,Yes
990310,James Brown,House,Inner Suburb,4,3,8,4.77,92,Yes,2,91.0,3,6.0,No
993227,Amelia King,Studio,Outer Suburb,1,2,1,4.42,2,No,0,51.0,1,5.0,Yes
994555,Arjun Wilson,House,Outer Suburb,4,3,10,4.57,25,No,2,76.0,10,7.0,Yes
994987,Aisha Scott,Apartment,CBD,1,2,4,4.7,107,No,6,58.0,1,7.0,No
990756,Zoe Khan,House,Regional,5,3,10,4.97,64,No,6,103.0,1,6.0,Yes
990110,Zoe Tran,Townhouse,Outer Suburb,3,2,7,3.75,18,No,5,59.0,2,4.0,Yes
996930,Amelia Taylor,Studio,Inner Suburb,1,1,3,4.2,47,No,4,58.0,3,8.0,No
992271,Arjun Tran,House,Inner Suburb,4,3,10,4.64,51,Yes,5,90.0,1,,No
996508,Olivia Clark,Apartment,Outer Suburb,2,2,4,4.72,121,Yes,0,69.0,1,6.0,Yes
995864,Arjun Nguyen,Apartment,Inner Suburb,1,1,2,4.16,24,No,0,44.0,3,4.0,No
994662,Minh Martin,Apartment,Regional,1,1,4,4.13,73,No,3,48.0,3,5.0,No
990472,Minh Scott,Apartment,Outer Suburb,2,2,6,4.07,42,No,8,56.0,7,5.0,No
991666,Arjun Clark,Studio,Regional,1,2,2,4.75,33,No,9,61.0,1,7.0,Yes
991522,Emily Chen,House,Inner Suburb,3,2,7,4.63,27,Yes,6,83.0,2,9.0,Yes
995017,Isla White,Apartment,Regional,1,1,2,4.6,68,Yes,10,46.0,3,4.0,No
991811,Hannah Smith,Apartment,Outer Suburb,1,2,1,4.33,6,No,2,43.0,2,5.0,Yes
996966,Chloe Walker,Studio,Inner Suburb,1,1,3,4.43,23,No,6,45.0,2,6.0,No
994747,Minh Wilson,House,Outer Suburb,3,2,6,4.57,29,No,1,59.0,1,5.0,Yes
992641,David Anderson,House,Outer Suburb,4,2,10,4.68,52,Yes,4,83.0,2,9.0,No
992843,Liam King,House,Inner Suburb,4,3,8,4.48,73,Yes,3,87.0,1,5.0,No
996480,Liam Walker,House,Inner Suburb,3,2,7,4.42,40,No,15,71.0,1,5.0,No
991409,Zoe Jones,House,Outer Suburb,3,2,7,5.0,23,No,3,80.0,2,7.0,No
992544,Daniel Taylor,House,CBD,5,3,10,4.07,40,No,3,112.0,1,7.0,Yes
995545,Jack Taylor,Studio,Outer Suburb,1,1,2,4.32,32,Yes,8,44.0,2,5.0,Yes
994496,Isla Ali,Apartment,Regional,2,2,3,4.52,105,Yes,15,74.0,1,7.0,Yes
997575,Samuel Anderson,Townhouse,Inner Suburb,3,2,6,4.38,73,No,3,80.0,5,6.0,Yes
